"isTs"	"is1stLast"	"prevCol"	"del.t"	"condName"
TRUE	"f"	NA	NA	"S0_1"
TRUE	"m"	"S0_1"	60	"S1_1"
TRUE	"m"	"S1_1"	60	"S2_1"
TRUE	"m"	"S2_1"	60	"S3_1"
TRUE	"m"	"S3_1"	60	"S4_1"
TRUE	"m"	"S4_1"	60	"S5_1"
TRUE	"l"	"S5_1"	60	"S6_1"
TRUE	"f"	NA	NA	"S0_2"
TRUE	"m"	"S0_2"	60	"S1_2"
TRUE	"m"	"S1_2"	60	"S2_2"
TRUE	"m"	"S2_2"	60	"S3_2"
TRUE	"m"	"S3_2"	60	"S4_2"
TRUE	"m"	"S4_2"	60	"S5_2"
TRUE	"l"	"S5_2"	60	"S6_2"
TRUE	"f"	NA	NA	"S0_3"
TRUE	"m"	"S0_3"	60	"S1_3"
TRUE	"m"	"S1_3"	60	"S2_3"
TRUE	"m"	"S2_3"	60	"S3_3"
TRUE	"m"	"S3_3"	60	"S4_3"
TRUE	"m"	"S4_3"	60	"S5_3"
TRUE	"l"	"S5_3"	60	"S6_3"
TRUE	"f"	NA	NA	"S6_4"
TRUE	"m"	"S6_4"	60	"S7_4"
TRUE	"l"	"S7_4"	60	"S8_4"
TRUE	"f"	NA	NA	"S6_5"
TRUE	"m"	"S6_5"	60	"S7_5"
TRUE	"l"	"S7_5"	60	"S8_5"
TRUE	"f"	NA	NA	"S6_6"
TRUE	"l"	"S6_6"	60	"S7_6"
TRUE	"f"	NA	NA	"G135_1"
TRUE	"m"	"G135_1"	15	"G150_1"
TRUE	"l"	"G150_1"	30	"G180_1"
TRUE	"f"	NA	NA	"G150_2"
TRUE	"l"	"G150_2"	30	"G180_2"
TRUE	"f"	NA	NA	"G135_3"
TRUE	"m"	"G135_3"	15	"G150_3"
TRUE	"l"	"G150_3"	30	"G180_3"
TRUE	"f"	NA	NA	"C30_1"
TRUE	"l"	"C30_1"	30	"C90_1"
TRUE	"f"	NA	NA	"C30_2"
TRUE	"l"	"C30_2"	30	"C90_2"
TRUE	"f"	NA	NA	"T-5.40H_1"
TRUE	"m"	"T-5.40H_1"	60	"T-4.40H_1"
TRUE	"m"	"T-4.40H_1"	60	"T-3.40H_1"
TRUE	"m"	"T-3.40H_1"	60	"T-2.40H_1"
TRUE	"m"	"T-2.40H_1"	60	"T-1.40H_1"
TRUE	"m"	"T-1.40H_1"	30	"T-1.10H_1"
TRUE	"m"	"T-1.10H_1"	30	"T-0.40H_1"
TRUE	"m"	"T-0.40H_1"	40	"T0.0H_1"
TRUE	"m"	"T0.0H_1"	30	"T0.30H_1"
TRUE	"m"	"T0.30H_1"	30	"T1.0H_1"
TRUE	"m"	"T1.0H_1"	30	"T1.30H_1"
TRUE	"m"	"T1.30H_1"	30	"T2.0H_1"
TRUE	"m"	"T2.0H_1"	30	"T2.30H_1"
TRUE	"m"	"T2.30H_1"	30	"T3.0H_1"
TRUE	"m"	"T3.0H_1"	30	"T3.30H_1"
TRUE	"m"	"T3.30H_1"	30	"T4.0H_1"
TRUE	"l"	"T4.0H_1"	60	"T5.0H_1"
TRUE	"f"	NA	NA	"BMM_1"
TRUE	"m"	"BMM_1"	10	"Heat_1"
TRUE	"m"	"Heat_1"	60	"Cold_1"
TRUE	"l"	"Cold_1"	10	"Etha_1"
TRUE	"f"	NA	NA	"BMM_2"
TRUE	"m"	"BMM_2"	10	"Heat_2"
TRUE	"m"	"Heat_2"	60	"Cold_2"
TRUE	"l"	"Cold_2"	10	"Etha_2"
TRUE	"f"	NA	NA	"BMM_3"
TRUE	"m"	"BMM_3"	10	"Heat_3"
TRUE	"m"	"Heat_3"	60	"Cold_3"
TRUE	"l"	"Cold_3"	10	"Etha_3"
TRUE	"f"	NA	NA	"SMM_1"
TRUE	"l"	"SMM_1"	10	"Salt_1"
TRUE	"f"	NA	NA	"SMM_2"
TRUE	"l"	"SMM_2"	10	"Salt_2"
TRUE	"f"	NA	NA	"SMM_3"
TRUE	"l"	"SMM_3"	10	"Salt_3"
TRUE	"f"	NA	NA	"Mt0_1"
TRUE	"m"	"Mt0_1"	45	"M0t45_1"
TRUE	"l"	"M0t45_1"	45	"M0t90_1"
TRUE	"f"	NA	NA	"Mt0_2"
TRUE	"m"	"Mt0_2"	45	"M0t45_2"
TRUE	"l"	"M0t45_2"	45	"M0t90_2"
TRUE	"f"	NA	NA	"Mt0_3"
TRUE	"m"	"Mt0_3"	45	"M0t45_3"
TRUE	"l"	"M0t45_3"	45	"M0t90_3"
TRUE	"f"	NA	NA	"Mt0_1"
TRUE	"m"	"Mt0_1"	45	"M40t45_1"
TRUE	"l"	"M40t45_1"	45	"M40t90_1"
TRUE	"f"	NA	NA	"Mt0_2"
TRUE	"m"	"Mt0_2"	45	"M40t45_2"
TRUE	"l"	"M40t45_2"	45	"M40t90_2"
TRUE	"f"	NA	NA	"Mt0_3"
TRUE	"m"	"Mt0_3"	45	"M40t45_3"
TRUE	"l"	"M40t45_3"	45	"M40t90_3"
TRUE	"f"	NA	NA	"dia0_1"
TRUE	"m"	"dia0_1"	5	"dia5_1"
TRUE	"l"	"dia5_1"	10	"dia15_1"
TRUE	"f"	NA	NA	"dia0_2"
TRUE	"m"	"dia0_2"	5	"dia5_2"
TRUE	"l"	"dia5_2"	10	"dia15_2"
TRUE	"f"	NA	NA	"dia0_3"
TRUE	"m"	"dia0_3"	5	"dia5_3"
TRUE	"l"	"dia5_3"	10	"dia15_3"
TRUE	"f"	NA	NA	"GM-0.2_1"
TRUE	"m"	"GM-0.2_1"	5	"GM-0.1_1"
TRUE	"m"	"GM-0.1_1"	5	"GM+5_1"
TRUE	"m"	"GM+5_1"	10	"GM+15_1"
TRUE	"m"	"GM+15_1"	10	"GM+25_1"
TRUE	"m"	"GM+25_1"	20	"GM+45_1"
TRUE	"m"	"GM+45_1"	15	"GM+60_1"
TRUE	"m"	"GM+60_1"	30	"GM+90_1"
TRUE	"m"	"GM+90_1"	30	"GM+120_1"
TRUE	"l"	"GM+120_1"	30	"GM+150_1"
TRUE	"f"	NA	NA	"GM-0.2_2"
