SystematicName	CommonName	Length
G1	Gene1	UNK
G2	Gene2	UNK
G3	Gene3	UNK
G4	Gene4	UNK
G5	Gene5	UNK
G6	Gene6	UNK
G7	Gene7	UNK
G8	Gene8	UNK
G9	Gene9	UNK
G10	Gene10	UNK
G11	Gene11	UNK
G12	Gene12	UNK
G13	Gene13	UNK
G14	Gene14	UNK
G15	Gene15	UNK
G16	Gene16	UNK
G17	Gene17	UNK
G18	Gene18	UNK
G19	Gene19	UNK
G20	Gene20	UNK
G21	Gene21	UNK
G22	Gene22	UNK
G23	Gene23	UNK
G24	Gene24	UNK
G25	Gene25	UNK
G26	Gene26	UNK
G27	Gene27	UNK
G28	Gene28	UNK
G29	Gene29	UNK
G30	Gene30	UNK
G31	Gene31	UNK
G32	Gene32	UNK
G33	Gene33	UNK
G34	Gene34	UNK
G35	Gene35	UNK
G36	Gene36	UNK
G37	Gene37	UNK
G38	Gene38	UNK
G39	Gene39	UNK
G40	Gene40	UNK
G41	Gene41	UNK
G42	Gene42	UNK
G43	Gene43	UNK
G44	Gene44	UNK
G45	Gene45	UNK
G46	Gene46	UNK
G47	Gene47	UNK
G48	Gene48	UNK
G49	Gene49	UNK
G50	Gene50	UNK
G51	Gene51	UNK
G52	Gene52	UNK
G53	Gene53	UNK
G54	Gene54	UNK
G55	Gene55	UNK
G56	Gene56	UNK
G57	Gene57	UNK
G58	Gene58	UNK
G59	Gene59	UNK
G60	Gene60	UNK
G61	Gene61	UNK
G62	Gene62	UNK
G63	Gene63	UNK
G64	Gene64	UNK
G65	Gene65	UNK
G66	Gene66	UNK
G67	Gene67	UNK
G68	Gene68	UNK
G69	Gene69	UNK
G70	Gene70	UNK
G71	Gene71	UNK
G72	Gene72	UNK
G73	Gene73	UNK
G74	Gene74	UNK
G75	Gene75	UNK
G76	Gene76	UNK
G77	Gene77	UNK
G78	Gene78	UNK
G79	Gene79	UNK
G80	Gene80	UNK
G81	Gene81	UNK
G82	Gene82	UNK
G83	Gene83	UNK
G84	Gene84	UNK
G85	Gene85	UNK
G86	Gene86	UNK
G87	Gene87	UNK
G88	Gene88	UNK
G89	Gene89	UNK
G90	Gene90	UNK
G91	Gene91	UNK
G92	Gene92	UNK
G93	Gene93	UNK
G94	Gene94	UNK
G95	Gene95	UNK
G96	Gene96	UNK
G97	Gene97	UNK
G98	Gene98	UNK
G99	Gene99	UNK
G100	Gene100	UNK
