"isTs"	"is1stLast"	"prevCol"	"del.t"	"condName"
FALSE	"e"	NA	NA	"wt"
FALSE	"e"	NA	NA	"G1(-/-)"
FALSE	"e"	NA	NA	"G2(-/-)"
FALSE	"e"	NA	NA	"G3(-/-)"
FALSE	"e"	NA	NA	"G4(-/-)"
FALSE	"e"	NA	NA	"G5(-/-)"
FALSE	"e"	NA	NA	"G6(-/-)"
FALSE	"e"	NA	NA	"G7(-/-)"
FALSE	"e"	NA	NA	"G8(-/-)"
FALSE	"e"	NA	NA	"G9(-/-)"
FALSE	"e"	NA	NA	"G10(-/-)"
FALSE	"e"	NA	NA	"G11(-/-)"
FALSE	"e"	NA	NA	"G12(-/-)"
FALSE	"e"	NA	NA	"G13(-/-)"
FALSE	"e"	NA	NA	"G14(-/-)"
FALSE	"e"	NA	NA	"G15(-/-)"
FALSE	"e"	NA	NA	"G16(-/-)"
FALSE	"e"	NA	NA	"G17(-/-)"
FALSE	"e"	NA	NA	"G18(-/-)"
FALSE	"e"	NA	NA	"G19(-/-)"
FALSE	"e"	NA	NA	"G20(-/-)"
FALSE	"e"	NA	NA	"G21(-/-)"
FALSE	"e"	NA	NA	"G22(-/-)"
FALSE	"e"	NA	NA	"G23(-/-)"
FALSE	"e"	NA	NA	"G24(-/-)"
FALSE	"e"	NA	NA	"G25(-/-)"
FALSE	"e"	NA	NA	"G26(-/-)"
FALSE	"e"	NA	NA	"G27(-/-)"
FALSE	"e"	NA	NA	"G28(-/-)"
FALSE	"e"	NA	NA	"G29(-/-)"
FALSE	"e"	NA	NA	"G30(-/-)"
FALSE	"e"	NA	NA	"G31(-/-)"
FALSE	"e"	NA	NA	"G32(-/-)"
FALSE	"e"	NA	NA	"G33(-/-)"
FALSE	"e"	NA	NA	"G34(-/-)"
FALSE	"e"	NA	NA	"G35(-/-)"
FALSE	"e"	NA	NA	"G36(-/-)"
FALSE	"e"	NA	NA	"G37(-/-)"
FALSE	"e"	NA	NA	"G38(-/-)"
FALSE	"e"	NA	NA	"G39(-/-)"
FALSE	"e"	NA	NA	"G40(-/-)"
FALSE	"e"	NA	NA	"G41(-/-)"
FALSE	"e"	NA	NA	"G42(-/-)"
FALSE	"e"	NA	NA	"G43(-/-)"
FALSE	"e"	NA	NA	"G44(-/-)"
FALSE	"e"	NA	NA	"G45(-/-)"
FALSE	"e"	NA	NA	"G46(-/-)"
FALSE	"e"	NA	NA	"G47(-/-)"
FALSE	"e"	NA	NA	"G48(-/-)"
FALSE	"e"	NA	NA	"G49(-/-)"
FALSE	"e"	NA	NA	"G50(-/-)"
FALSE	"e"	NA	NA	"G51(-/-)"
FALSE	"e"	NA	NA	"G52(-/-)"
FALSE	"e"	NA	NA	"G53(-/-)"
FALSE	"e"	NA	NA	"G54(-/-)"
FALSE	"e"	NA	NA	"G55(-/-)"
FALSE	"e"	NA	NA	"G56(-/-)"
FALSE	"e"	NA	NA	"G57(-/-)"
FALSE	"e"	NA	NA	"G58(-/-)"
FALSE	"e"	NA	NA	"G59(-/-)"
FALSE	"e"	NA	NA	"G60(-/-)"
FALSE	"e"	NA	NA	"G61(-/-)"
FALSE	"e"	NA	NA	"G62(-/-)"
FALSE	"e"	NA	NA	"G63(-/-)"
FALSE	"e"	NA	NA	"G64(-/-)"
FALSE	"e"	NA	NA	"G65(-/-)"
FALSE	"e"	NA	NA	"G66(-/-)"
FALSE	"e"	NA	NA	"G67(-/-)"
FALSE	"e"	NA	NA	"G68(-/-)"
FALSE	"e"	NA	NA	"G69(-/-)"
FALSE	"e"	NA	NA	"G70(-/-)"
FALSE	"e"	NA	NA	"G71(-/-)"
FALSE	"e"	NA	NA	"G72(-/-)"
FALSE	"e"	NA	NA	"G73(-/-)"
FALSE	"e"	NA	NA	"G74(-/-)"
FALSE	"e"	NA	NA	"G75(-/-)"
FALSE	"e"	NA	NA	"G76(-/-)"
FALSE	"e"	NA	NA	"G77(-/-)"
FALSE	"e"	NA	NA	"G78(-/-)"
FALSE	"e"	NA	NA	"G79(-/-)"
FALSE	"e"	NA	NA	"G80(-/-)"
FALSE	"e"	NA	NA	"G81(-/-)"
FALSE	"e"	NA	NA	"G82(-/-)"
FALSE	"e"	NA	NA	"G83(-/-)"
FALSE	"e"	NA	NA	"G84(-/-)"
FALSE	"e"	NA	NA	"G85(-/-)"
FALSE	"e"	NA	NA	"G86(-/-)"
FALSE	"e"	NA	NA	"G87(-/-)"
FALSE	"e"	NA	NA	"G88(-/-)"
FALSE	"e"	NA	NA	"G89(-/-)"
FALSE	"e"	NA	NA	"G90(-/-)"
