"isTs"	"is1stLast"	"prevCol"	"del.t"	"condName"
TRUE	"f"	NA	0	"GSM206780"
TRUE	"m"	"GSM206780"	90	"GSM206777"
TRUE	"l"	"GSM206777"	270	"GSM206779"
TRUE	"f"	NA	0	"GSM206786"
TRUE	"m"	"GSM206786"	90	"GSM206783"
TRUE	"l"	"GSM206783"	270	"GSM206785"
TRUE	"f"	NA	0	"GSM206792"
TRUE	"m"	"GSM206792"	90	"GSM206789"
TRUE	"l"	"GSM206789"	270	"GSM206791"
TRUE	"f"	NA	0	"GSM218597"
TRUE	"m"	"GSM218597"	16	"GSM218598"
TRUE	"m"	"GSM218598"	16	"GSM218599"
TRUE	"m"	"GSM218599"	16	"GSM218600"
TRUE	"m"	"GSM218600"	16	"GSM218601"
TRUE	"m"	"GSM218601"	16	"GSM218602"
TRUE	"m"	"GSM218602"	16	"GSM218603"
TRUE	"m"	"GSM218603"	16	"GSM218604"
TRUE	"m"	"GSM218604"	16	"GSM218605"
TRUE	"m"	"GSM218605"	16	"GSM218606"
TRUE	"m"	"GSM218606"	16	"GSM218607"
TRUE	"m"	"GSM218607"	16	"GSM218608"
TRUE	"m"	"GSM218608"	16	"GSM218609"
TRUE	"m"	"GSM218609"	16	"GSM218610"
TRUE	"l"	"GSM218610"	16	"GSM218611"
TRUE	"f"	NA	0	"GSM218612"
TRUE	"m"	"GSM218612"	16	"GSM218613"
TRUE	"m"	"GSM218613"	16	"GSM218614"
TRUE	"m"	"GSM218614"	16	"GSM218615"
TRUE	"m"	"GSM218615"	16	"GSM218616"
TRUE	"m"	"GSM218616"	16	"GSM218617"
TRUE	"m"	"GSM218617"	16	"GSM218618"
TRUE	"m"	"GSM218618"	16	"GSM218619"
TRUE	"m"	"GSM218619"	16	"GSM218620"
TRUE	"m"	"GSM218620"	16	"GSM218621"
TRUE	"m"	"GSM218621"	16	"GSM218622"
TRUE	"m"	"GSM218622"	16	"GSM218623"
TRUE	"m"	"GSM218623"	16	"GSM218624"
TRUE	"m"	"GSM218624"	16	"GSM218625"
TRUE	"l"	"GSM218625"	16	"GSM218626"
TRUE	"f"	NA	0	"GSM218627"
TRUE	"m"	"GSM218627"	16	"GSM218628"
TRUE	"m"	"GSM218628"	16	"GSM218629"
TRUE	"m"	"GSM218629"	16	"GSM218630"
TRUE	"m"	"GSM218630"	16	"GSM218631"
TRUE	"m"	"GSM218631"	16	"GSM218632"
TRUE	"m"	"GSM218632"	16	"GSM218633"
TRUE	"m"	"GSM218633"	16	"GSM218634"
TRUE	"m"	"GSM218634"	16	"GSM218635"
TRUE	"m"	"GSM218635"	16	"GSM218636"
TRUE	"m"	"GSM218636"	16	"GSM218637"
TRUE	"m"	"GSM218637"	16	"GSM218638"
TRUE	"m"	"GSM218638"	16	"GSM218639"
TRUE	"m"	"GSM218639"	16	"GSM218640"
TRUE	"l"	"GSM218640"	16	"GSM218641"
TRUE	"f"	NA	0	"GSM218642"
TRUE	"m"	"GSM218642"	16	"GSM218643"
TRUE	"m"	"GSM218643"	16	"GSM218644"
TRUE	"m"	"GSM218644"	16	"GSM218645"
TRUE	"m"	"GSM218645"	16	"GSM218646"
TRUE	"m"	"GSM218646"	16	"GSM218647"
TRUE	"m"	"GSM218647"	16	"GSM218648"
TRUE	"m"	"GSM218648"	16	"GSM218649"
TRUE	"m"	"GSM218649"	16	"GSM218650"
TRUE	"m"	"GSM218650"	16	"GSM218651"
TRUE	"m"	"GSM218651"	16	"GSM218652"
TRUE	"m"	"GSM218652"	16	"GSM218653"
TRUE	"m"	"GSM218653"	16	"GSM218654"
TRUE	"m"	"GSM218654"	16	"GSM218655"
TRUE	"l"	"GSM218655"	16	"GSM218656"
TRUE	"f"	NA	0	"GSM237019"
TRUE	"m"	"GSM237019"	4.02	"GSM237020"
TRUE	"m"	"GSM237020"	4.02	"GSM237021"
TRUE	"m"	"GSM237021"	3.96	"GSM237022"
TRUE	"m"	"GSM237022"	4.02	"GSM237023"
TRUE	"m"	"GSM237023"	4.02	"GSM237024"
TRUE	"m"	"GSM237024"	3.96	"GSM237025"
TRUE	"m"	"GSM237025"	4.02	"GSM237026"
TRUE	"m"	"GSM237026"	4.02	"GSM237027"
TRUE	"m"	"GSM237027"	3.96	"GSM237028"
TRUE	"l"	"GSM237028"	4.02	"GSM237029"
TRUE	"f"	NA	0	"GSM237030"
TRUE	"m"	"GSM237030"	4.0007142857	"GSM237031"
TRUE	"m"	"GSM237031"	4.0007142857	"GSM237032"
TRUE	"m"	"GSM237032"	4.0007142857	"GSM237033"
TRUE	"m"	"GSM237033"	4.0007142857	"GSM237034"
TRUE	"m"	"GSM237034"	4.0007142857	"GSM237035"
TRUE	"m"	"GSM237035"	4.0007142857	"GSM237036"
TRUE	"m"	"GSM237036"	4.0007142857	"GSM237037"
TRUE	"m"	"GSM237037"	4.0007142857	"GSM237038"
TRUE	"m"	"GSM237038"	4.0007142857	"GSM237039"
TRUE	"m"	"GSM237039"	4.0007142857	"GSM237040"
TRUE	"m"	"GSM237040"	4.0007142857	"GSM237041"
TRUE	"m"	"GSM237041"	4.0007142857	"GSM237042"
TRUE	"m"	"GSM237042"	4.0007142857	"GSM237043"
TRUE	"m"	"GSM237043"	4.0007142857	"GSM237044"
TRUE	"m"	"GSM237044"	4.0007142857	"GSM237045"
TRUE	"m"	"GSM237045"	4.0007142857	"GSM237046"
TRUE	"m"	"GSM237046"	4.0007142857	"GSM237047"
TRUE	"m"	"GSM237047"	4.0007142857	"GSM237048"
TRUE	"m"	"GSM237048"	4.0007142857	"GSM237049"
TRUE	"m"	"GSM237049"	4.0007142857	"GSM237050"
TRUE	"m"	"GSM237050"	4.0007142857	"GSM237051"
TRUE	"m"	"GSM237051"	4.0007142857	"GSM237052"
TRUE	"m"	"GSM237052"	4.0007142857	"GSM237053"
TRUE	"m"	"GSM237053"	4.0007142857	"GSM237054"
TRUE	"m"	"GSM237054"	4.0007142857	"GSM237055"
TRUE	"m"	"GSM237055"	4.0007142857	"GSM237056"
TRUE	"m"	"GSM237056"	4.0007142857	"GSM237057"
TRUE	"m"	"GSM237057"	4.0007142857	"GSM237058"
TRUE	"m"	"GSM237058"	4.0007142857	"GSM237059"
TRUE	"m"	"GSM237059"	4.0007142857	"GSM237060"
TRUE	"m"	"GSM237060"	4.0007142857	"GSM237061"
TRUE	"m"	"GSM237061"	4.0007142857	"GSM237062"
TRUE	"m"	"GSM237062"	4.0007142857	"GSM237063"
TRUE	"m"	"GSM237063"	4.0007142857	"GSM237064"
TRUE	"m"	"GSM237064"	4.0007142857	"GSM237065"
TRUE	"l"	"GSM237065"	4.0007142857	"GSM237066"
TRUE	"f"	NA	0	"GSM239504"
TRUE	"l"	"GSM239504"	3120	"GSM239501"
TRUE	"f"	NA	0	"GSM239505"
TRUE	"m"	"GSM239505"	1320	"GSM239499"
TRUE	"l"	"GSM239499"	1800	"GSM239502"
TRUE	"f"	NA	0	"GSM239506"
TRUE	"m"	"GSM239506"	1320	"GSM239500"
TRUE	"l"	"GSM239500"	1800	"GSM239503"
TRUE	"f"	NA	0	"GSM239507"
TRUE	"m"	"GSM239507"	480	"GSM239513"
TRUE	"l"	"GSM239513"	1320	"GSM239510"
TRUE	"f"	NA	0	"GSM239508"
TRUE	"m"	"GSM239508"	480	"GSM239514"
TRUE	"l"	"GSM239514"	1320	"GSM239511"
TRUE	"f"	NA	0	"GSM239509"
TRUE	"m"	"GSM239509"	480	"GSM239515"
